Report Number,Report DateTime,Offense Parent Group,Offense,Offense Code,MCPP,Longitude,Latitude,Year,Month,Day,Hour,Minute,Location,Zipcode
2020-356453,12/30/2020 04:42:25 AM,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,MAGNOLIA,-122.399625702,47.63979562,2020.0,12.0,30.0,3.0,32.0,"Bellagio, 2425, 33rd Avenue West, Carleton Park, Magnolia Village, Seattle, King County, Washington, 98199, United States",98199
2020-356435,12/30/2020 04:36:19 AM,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,-122.330566219,47.61860867,2020.0,12.0,30.0,2.0,34.0,"1308, Stewart Street, South Lake Union, First Hill, Seattle, King County, Washington, 98109, United States",98109
2020-356173,12/30/2020 02:27:42 AM,ASSAULT OFFENSES,Intimidation,13C,NORTHGATE,-122.313767172,47.72445196,2020.0,12.0,29.0,18.0,20.0,"1407, Northeast Brockman Place, Northgate, Seattle, King County, Washington, 98125, United States",98125
2020-355901,12/29/2020 02:22:25 PM,LARCENY-THEFT,All Other Larceny,23H,NORTHGATE,-122.324615158,47.7086028,2020.0,12.0,29.0,12.0,25.0,"Dick's Sporting Goods, 328, Northeast Northgate Way, Northgate, Seattle, King County, Washington, 98125, United States",98125
2020-928974,12/29/2020 02:22:16 PM,LARCENY-THEFT,All Other Larceny,23H,BALLARD SOUTH,-122.362396491,47.66291882,2020.0,12.0,29.0,0.0,45.0,"336, Northwest 47th Street, Phinney Ridge, Seattle, King County, Washington, 98107, United States",98107
2020-928970,12/29/2020 02:12:49 PM,LARCENY-THEFT,Theft From Motor Vehicle,23F,EASTLAKE - WEST,-122.327106769,47.64087912,2020.0,12.0,29.0,9.0,20.0,"2335, Yale Avenue East, Eastlake, Capitol Hill, Seattle, King County, Washington, 98102, United States",98102
2020-354060,12/27/2020 12:38:24 AM,ASSAULT OFFENSES,Intimidation,13C,MOUNT BAKER,-122.299022274,47.58435803,2020.0,12.0,26.0,23.0,1.0,"2606, South Hill Street, Mount Baker, Seattle, King County, Washington, 98144, United States",98144
2020-354035,12/26/2020 11:03:43 PM,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,RAINIER BEACH,-122.264496402,47.52240866,2020.0,12.0,26.0,19.0,30.0,"Parkshore Villa, Seward Park Avenue South, Rainier Beach, Seattle, King County, Washington, 98118, United States",98118
2020-352392,12/24/2020 02:22:44 PM,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,ROOSEVELT/RAVENNA,-122.298522463,47.67106857,2020.0,12.0,23.0,22.0,0.0,"5733, 27th Avenue Northeast, Ravenna, University District, Seattle, King County, Washington, 98105, United States",98105
2020-351313,12/23/2020 01:36:51 AM,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,UNKNOWN,-122.326353918,47.60087091,2020.0,12.0,19.0,23.0,0.0,"Diamond Parking, 6th Avenue South, Little Saigon, International District/Chinatown, Seattle, King County, Washington, 98104, United States",98104
